user_id,lock_id,sale_datetime,sale_id,gross_profit
11950902,25856795,2022-10-12 23:39:17,1603277,990.0
12021706,27617569,2022-12-26 22:44:44,1686184,1079.84
12060579,27267136,2022-12-06 22:26:19,1674825,31.45
12127987,25646683,2022-10-05 22:27:59,1603289,980.65
12239818,25453389,2022-10-03 19:41:25,1592018,22.9
12268634,27335459,2022-12-09 00:01:14,1674931,373.94
12278708,25445436,2022-09-28 17:13:21,1592069,-147.62
12333449,26816129,2022-11-17 18:46:44,1652881,395.9
12510265,25326768,2022-09-26 19:18:15,1592568,1198.51
12529754,27486481,2022-12-15 17:06:41,1679841,29.71
12609201,27399220,2022-12-19 20:43:46,1687224,-73.03
12647808,26174304,2022-10-23 21:53:53,1624735,372.87
12699079,27299928,2022-12-07 19:44:36,1675309,611.75
12700039,26298786,2022-10-28 17:37:17,1624769,172.94
12704710,26327920,2022-10-29 17:32:44,1624720,-204.52
12759552,25720052,2022-10-17 18:33:15,1608870,-51.15
12811390,25941732,2022-10-20 18:12:19,1617068,111.44
12874859,25479417,2022-09-29 19:28:50,1592073,-180.24
12910652,25043314,2022-09-14 02:13:13,1591995,-10.69
12928109,26857233,2022-11-18 00:14:41,1652899,29.13
13114126,27526517,2022-12-17 15:59:21,1683387,-112.7
13146238,25445604,2022-09-28 16:26:05,1592029,245.13
13150192,27395269,2022-12-11 21:06:04,1675828,1713.7
13257370,25121283,2022-09-30 15:58:19,1590706,1036.16
13261515,27353076,2022-12-09 18:17:39,1675786,345.46
13271264,25417653,2022-09-30 17:22:49,1592106,480.03
13317396,25610001,2022-10-07 22:31:13,1603266,-18.63
13349824,25337612,2022-09-24 19:56:07,1592419,570.92
13360304,25760879,2022-10-14 15:34:29,1608137,67.92
13365230,26867878,2022-11-18 01:59:38,1652904,118.33
13427327,27355529,2022-12-11 19:22:21,1675825,405.63
13466461,27314483,2022-12-10 18:38:10,1675807,-245.18
13561847,25236977,2022-09-21 02:58:47,1591185,-11.08
13644647,26691786,2022-11-17 19:13:07,1652884,44.72
13775885,26184874,2022-10-23 23:01:52,1631955,556.76
13855281,27226573,2022-12-13 19:08:04,1675883,-6.3
13867063,27706716,2022-12-26 22:12:34,1688701,125.0
13879570,25540904,2022-10-02 21:54:26,1592705,-553.2
13916268,26149738,2022-11-03 16:24:23,1642574,-620.75
13984152,25472622,2022-09-30 11:55:54,1591821,96.27
14003711,25275923,2022-09-25 02:40:51,1591313,80.89
14017355,26003774,2022-10-20 18:43:41,1618198,1293.97
14029091,26205415,2022-10-24 21:05:50,1624741,-72.47
14113557,25065849,2022-09-20 13:42:48,1589457,-162.06
14255081,25475515,2022-09-29 20:22:06,1592308,1126.94
14263314,26642493,2022-11-19 15:12:18,1655588,-229.69
14319182,25508729,2022-09-30 20:17:24,1591308,307.39
14374026,26253187,2022-10-26 05:41:00,1624713,753.34
14392866,25462857,2022-09-29 22:56:27,1592653,980.1
14409258,27353253,2022-12-09 17:54:09,1675784,-181.31
14495689,26737925,2022-11-17 17:11:00,1652870,214.07
14503296,25226172,2022-09-25 15:27:55,1591264,665.17
14511028,25660399,2022-10-06 02:04:26,1598754,-381.25
14600483,25448116,2022-10-03 00:29:19,1592453,-108.79
14608282,25269175,2022-09-26 19:11:13,1592112,-51.21
14669700,25332482,2022-10-01 20:51:09,1592410,596.53
14709290,25850075,2022-10-12 20:40:20,1603274,494.27
14732194,27227434,2022-12-05 15:17:47,1675264,1134.26
14798458,27573823,2022-12-22 23:59:54,1687586,-109.46
14934793,25429758,2022-09-29 13:18:12,1592646,627.93
14969787,27417367,2022-12-15 18:11:27,1683361,93.86
15016637,26377878,2022-11-04 18:46:44,1639587,30.23
15131518,25407518,2022-09-27 20:22:35,1592434,147.8
15205939,25470252,2022-09-29 19:18:46,1591182,1963.12
15273147,26387675,2022-10-31 05:54:03,1631937,-315.37
15349767,27301772,2022-12-13 19:22:33,1675203,373.02
15444740,27568102,2022-12-20 01:05:34,1682602,1299.39
15502820,25355170,2022-09-28 22:13:31,1591870,680.61
15652908,25040394,2022-09-15 01:08:36,1592642,259.06
15731912,26002062,2022-10-17 19:16:40,1616679,846.64
15734865,25868083,2022-10-13 02:40:07,1603279,177.61
15898706,25566344,2022-10-23 17:53:28,1618247,-33.23
15908449,27642470,2022-12-23 13:21:55,1687597,-79.12
15952880,25374521,2022-09-26 04:44:13,1591772,936.25
16129852,26861885,2022-11-17 22:03:32,1652896,54.87
16212292,25600137,2022-10-04 04:13:35,1592025,-143.06
16214291,25948583,2022-11-05 17:27:16,1641958,-25.51
16261290,25171358,2022-09-30 17:44:27,1592107,-340.82
16359011,26262845,2022-10-31 20:10:12,1624709,826.05
16508071,25528031,2022-10-04 20:20:00,1598746,-105.56
16615931,25448504,2022-10-08 18:39:44,1603245,106.87
16626125,27408871,2022-12-12 17:52:30,1675848,103.1
16635472,25561537,2022-10-02 21:31:43,1592700,-228.3
16643612,27430317,2022-12-21 00:14:38,1687231,364.86
16673255,25163467,2022-09-24 12:14:37,1592479,294.46
16836828,26728331,2022-11-18 14:10:49,1652910,-333.46
16981628,26396148,2022-11-09 19:05:27,1641904,1.45
16990323,25289079,2022-09-22 21:59:31,1589565,1046.84
17007396,26453661,2022-11-03 19:59:22,1642049,-95.61
17011895,25518906,2022-10-02 01:42:17,1591854,929.8
17019924,27279158,2022-12-10 18:22:10,1675805,1811.79
17113478,27448474,2022-12-22 17:33:16,1686103,771.57
17164928,27749896,2022-12-28 18:56:50,1688278,-35.61
17181719,27654410,2022-12-27 15:00:57,1688727,-618.19
17253961,27356125,2022-12-12 14:35:40,1675841,142.43
